id,name,theme,team,overall,tier,position,secondary_position,height,play1,play2,play3,play4,bronze_badges,silver_badges,gold_badges,hof_badges,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,overall_durability,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,pick_and_roll_defense_iq,lateral_quickness,pass_perception,reaction_time,steal,block,shot_contest,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential,standing_dunk_t,driving_dunk_t,flashy_dunk_t,alley_oop_t,putback_dunk_t,crash_t,driving_layup_t,spin_layup_t,hop_step_layup_t,euro_step_layup_t,floater_t,step_through_shot_t,shot_under_basket_t,shot_close_t,shot_close_left_t,shot_close_middle_t,shot_close_right_t,shot_mid_t,spot_up_shot_mid_t,off_screen_shot_mid_t,shot_3pt_t,spot_up_shot_3pt_t,off_screen_shot_3pt_t,contested_jumper_mid_t,contested_jumper_3pt_t,stepback_jumper_mid_t,stepback_jumper_3pt_t,spin_jumper_t,transition_pull_up_3pt_t,drive_pull_up_3pt_t,drive_pull_up_mid_t,use_glass_t,triple_threat_pump_fake_t,triple_threat_jab_step_t,triple_threat_idle_t,triple_threat_shoot_t,setup_with_sizeup_t,setup_with_hesitation_t,no_setup_dribble_t,drive_t,spot_up_drive_t,off_screen_drive_t,drive_right_t,driving_crossover_t,driving_spin_t,driving_step_back_t,driving_half_spin_t,driving_double_crossover_t,driving_behind_the_back_t,driving_dribble_hesitation_t,driving_in_and_out_t,no_driving_dribble_move_t,attack_strong_on_drive_t,shoot_t,touches_t,roll_vs_pop_t,transition_spot_up_t,iso_vs_elite_defender_t,iso_vs_good_defender_t,iso_vs_average_defender_t,iso_vs_poor_defender_t,play_discipline_t,post_up_t,post_shimmy_shot_t,post_face_up_t,post_back_down_t,post_aggressive_backdown_t,shoot_from_post_t,post_hook_left_t,post_hook_right_t,post_fade_left_t,post_fade_right_t,post_up_and_under_t,post_hop_shot_t,post_step_back_shot_t,post_drive_t,post_spin_t,post_drop_step_t,post_hop_step_t,dish_to_open_man_t,flashy_pass_t,alley_oop_pass_t,pass_interception_t,take_charge_t,on_ball_steal_t,contest_shot_t,block_shot_t,foul_t,hard_foul_t,acrobat,backdown_punisher,consistent_finisher,contact_finisher,cross_key_scorer,deep_hooks,dropstepper,fancy_footwork,fastbreak_finisher,giant_slayer,lob_city_finisher,pick_and_roller,pro_touch,putback_boss,relentless_finisher,showtime,slithery_finisher,tear_dropper,catch_and_shoot,clutch_shooter,corner_specialist,deadeye,deep_fades,difficult_shots,flexible_release,green_machine,hot_start,hot_zone_hunter,ice_in_veins,pick_and_popper,pump_fake_maestro,quick_draw,range_extender,slippery_off_ball,steady_shooter,tireless_shooter,volume_shooter,ankle_breaker,bail_out,break_starter,dimer,downhill,dream_shake,flashy_passer,floor_general,handles_for_days,lob_city_passer,needle_threader,pass_fake_maestro,post_spin_technician,quick_first_step,space_creator,stop_and_go,tight_handles,unpluckable,box,brick_wall,chase_down_artist,clamps,defensive_leader,heart_crusher,interceptor,intimidator,lightning_reflexes,moving_truck,off_ball_pest,pick_dodger,pick_pocket,pogo_stick,post_move_lockdown,rebound_chaser,rim_protector,tireless_defender,trapper,worm,alpha_dog,enforcer,extremely_confident,expressive,high_work_ethic,legendary_work_ethic,pat_my_back,unpredictable
252,Tomas Satoransky,'20 NBA,Chicago Bulls,74,NBA 2K20  Silver,SG,,79,P&R Ball Handler,,,,3,0,0,0,85,60,80,80,79,35,68,27,62,62,45,27,42,77,73,74,76,43,77,72,80,73,73,83,69,82,47,68,67,69,72,69,78,50,34,78,57,41,47,80,75,0,55,10,25,15,35,80,25,20,25,55,0,42,30,19,33,48,10,35,35,20,85,25,20,15,0,0,0,0,0,0,25,5,5,50,0,0,15,0,65,65,65,95,25,25,35,15,25,15,35,15,70,35,40,50,0,0,5,5,15,25,99,0,0,0,0,0,10,16,16,19,19,0,20,0,0,0,0,0,65,50,15,57,20,59,55,17,60,25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,Bronze,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
253,Dario Saric,'20 NBA,Phoenix Suns,75,NBA 2K20  Silver,PF,,82,Post Up Low,Post Up High,P&R Roll Man,,2,0,1,0,56,56,74,90,82,74,73,39,64,44,72,58,63,86,57,63,54,59,76,80,80,51,68,69,31,78,64,43,68,57,55,44,62,32,29,60,59,51,63,95,78,25,70,15,25,20,25,75,0,0,0,35,0,46,25,10,45,45,15,50,40,60,85,35,5,15,20,0,0,0,0,5,15,5,5,50,0,0,0,15,55,40,15,50,10,0,25,0,0,0,0,0,40,40,60,70,20,50,0,0,10,20,65,25,0,40,5,0,85,32,34,15,24,20,0,0,30,5,0,0,20,5,20,55,10,36,62,24,50,60,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,Gold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
254,Treveon Graham,'20 NBA,Minnesota Timberwolves,70,NBA 2K20  Silver,SF,SG,77,Post Up High,P&R Roll Man,,,1,0,0,0,67,74,65,90,77,60,65,60,65,49,32,37,47,70,61,62,73,57,75,75,80,58,57,55,27,34,43,61,55,69,68,63,52,31,40,50,55,36,51,95,71,0,70,30,25,30,35,40,0,0,0,15,0,35,20,13,63,24,5,40,35,35,65,35,15,25,0,0,10,0,0,0,15,35,5,50,0,0,40,0,45,35,45,90,10,0,0,0,0,0,15,0,99,50,35,45,0,0,0,0,5,15,95,0,0,0,0,0,10,5,5,48,27,0,0,0,0,0,0,0,20,10,0,60,40,64,68,39,75,40,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
255,Dorian Finney-Smith,'20 NBA,Dallas Mavericks,72,NBA 2K20  Silver,SF,PF,80,P&R Roll Man,Post Up Low,,,4,0,0,0,58,67,69,90,67,46,63,36,76,44,36,43,36,68,63,63,79,44,76,76,80,40,56,61,29,57,64,72,70,74,73,56,52,45,51,64,56,58,55,95,73,40,75,10,50,25,15,25,0,0,0,5,0,53,15,7,76,17,10,35,20,55,75,35,0,0,0,0,0,0,0,0,10,5,5,50,0,0,0,0,45,60,60,95,15,0,0,0,0,0,15,0,99,45,45,50,20,0,5,5,15,25,99,0,0,0,0,0,65,0,11,0,0,0,0,0,25,0,0,0,25,10,0,46,20,65,64,26,70,35,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,Bronze,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None
256,Fred VanVleet,'20 NBA,Toronto Raptors,78,NBA 2K20  Gold,PG,,72,P&R Ball Handler,Handoff,,,9,4,0,0,72,72,81,93,83,84,79,25,34,58,27,29,31,84,78,73,69,41,84,69,80,78,85,83,70,89,26,82,78,79,83,79,57,45,46,57,74,30,45,95,82,0,45,0,25,0,70,55,60,45,35,85,0,44,20,8,73,19,5,55,45,65,75,40,30,50,25,5,10,0,0,0,12,5,5,0,0,0,40,40,55,55,65,95,65,45,30,35,50,30,60,35,70,35,55,65,0,0,15,15,25,35,99,0,0,0,0,0,10,5,23,0,36,0,20,0,0,0,0,0,60,35,35,65,20,97,75,15,60,71,None,None,Bronze,None,None,None,None,None,None,Silver,None,None,None,None,None,None,None,None,Bronze,Bronze,Silver,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,Silver,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,Silver,None,None,None,Bronze,Bronze,None,None,None,None,None,Bronze,Bronze,None,None,None,None,None,None,None,None,None
257,Bryn Forbes,'20 NBA,San Antonio Spurs,74,NBA 2K20  Silver,SG,PG,75,Handoff,3 PT,,,3,2,1,0,80,87,84,92,86,72,74,32,37,41,39,25,49,75,65,65,69,34,77,73,80,64,67,57,38,59,41,55,53,59,66,47,60,34,25,60,27,26,48,95,77,0,35,0,25,0,20,25,35,45,5,60,0,16,30,5,42,53,20,60,60,55,85,65,26,45,0,0,0,20,0,0,15,0,55,20,35,0,15,0,25,30,30,95,25,5,35,0,0,0,20,0,70,25,50,55,0,75,0,0,5,15,99,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,45,25,30,0,0,23,62,0,50,35,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Gold,None,None,None,Bronze,None,None,None,None,None,None,None,Bronze,Silver,Silver,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
258,Derrick Jones Jr.,'20 NBA,Miami Heat,73,NBA 2K20  Silver,SF,PF,79,P&R Roll Man,Cutter,,,3,0,0,0,57,62,70,90,58,62,71,82,87,65,34,37,34,71,74,73,90,56,77,77,75,58,57,62,26,51,57,56,57,57,68,65,67,53,69,67,27,66,56,95,75,70,80,85,75,65,25,20,5,0,0,5,0,65,25,12,68,20,0,40,30,25,60,30,16,26,0,0,0,0,0,0,0,0,0,50,0,0,0,0,55,45,65,95,0,0,0,0,0,0,0,0,75,40,40,40,35,0,0,0,0,0,99,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,5,0,47,20,42,99,33,75,35,None,None,None,None,None,None,None,None,Bronze,None,Bronze,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
259,Danuel House,'20 NBA,Houston Rockets,72,NBA 2K20  Silver,SF,PF,79,Mid Range,P&R Ball Handler,,,2,1,0,0,71,61,77,90,73,64,72,39,59,52,41,41,45,73,57,54,69,44,79,69,80,54,64,63,25,63,46,49,48,59,61,42,64,32,44,64,25,32,53,95,75,75,45,90,50,15,15,40,0,0,0,0,0,45,15,15,69,16,5,77,75,50,75,15,15,25,0,0,0,0,0,0,20,0,10,60,25,0,0,0,85,85,65,35,0,0,0,0,0,0,0,0,99,30,50,55,75,0,5,5,15,25,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,64,10,62,65,57,40,35,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Silver,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
260,Yogi Ferrell,'20 NBA,Sacramento Kings,73,NBA 2K20  Silver,PG,SG,72,P&R Point,3 PT,Handoff,,4,0,0,0,81,82,76,90,86,71,73,25,26,38,25,25,28,84,80,80,66,28,88,61,80,80,82,71,61,82,25,60,46,65,66,44,66,42,28,66,31,27,44,95,75,0,45,0,25,5,15,60,50,20,5,55,0,29,20,8,47,45,20,45,45,55,70,40,30,30,30,40,20,8,15,15,35,5,55,35,30,0,50,10,50,60,60,95,60,30,60,25,25,40,70,50,99,55,50,60,0,85,10,10,20,30,75,0,0,0,0,0,10,0,5,23,23,0,20,0,0,0,0,0,45,30,40,55,40,62,25,16,50,25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,Bronze,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
261,Quinn Cook,'20 NBA,Los Angeles Lakers,73,NBA 2K20  Silver,PG,,74,P&R Point,3 PT,Handoff,,4,2,0,0,82,85,78,90,72,65,77,25,25,54,26,25,37,69,72,69,55,29,75,82,80,72,75,73,55,72,25,60,47,66,70,46,64,31,25,45,25,31,53,95,76,0,35,0,25,5,55,65,20,15,5,55,0,26,25,11,47,42,25,40,40,55,75,35,30,20,10,0,0,0,0,0,25,5,5,50,5,0,15,0,65,55,60,95,35,10,40,5,0,5,15,0,90,25,55,60,0,0,0,0,5,15,99,0,0,0,0,0,10,8,20,10,0,0,20,0,0,0,0,0,55,25,65,40,0,45,56,40,60,68,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,Bronze,None,None,Silver,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,Bronze,None,Silver,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
262,David Nwaba,'20 NBA,Brooklyn Nets,72,NBA 2K20  Silver,SF,PF,76,P&R Roll Man,Post Up Low,,,1,0,0,0,74,69,68,90,61,53,63,43,73,47,37,33,31,65,63,65,73,61,78,90,80,60,58,53,28,37,62,72,75,72,72,75,52,46,48,75,68,39,55,95,73,0,50,5,50,25,15,25,0,0,0,45,0,59,30,14,43,43,0,30,20,10,40,10,20,5,0,0,0,0,0,0,10,5,5,50,0,0,0,0,60,75,75,90,20,15,15,15,5,5,20,5,99,15,45,40,55,0,10,10,20,30,99,0,0,0,0,0,10,11,18,0,0,0,0,0,0,0,0,0,35,10,0,50,10,58,64,28,70,35,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
263,Markelle Fultz,'20 NBA,Orlando Magic,73,NBA 2K20  Silver,PG,SG,76,P&R Ball Handler,3 PT,Handoff,Isolation,8,0,0,0,58,61,66,90,53,61,83,26,56,70,40,38,44,77,82,81,81,52,88,71,80,81,83,80,65,79,46,63,65,68,74,65,78,52,43,67,36,53,47,95,84,0,60,55,50,15,15,70,55,55,45,75,41,46,85,20,39,41,10,45,40,5,65,40,35,45,45,10,35,15,10,20,15,55,55,15,55,80,25,0,70,50,50,51,55,20,45,15,0,10,35,35,55,60,70,75,0,15,15,15,25,35,35,0,0,0,0,0,10,0,0,15,15,0,20,0,30,0,0,0,40,50,55,57,0,46,65,16,60,20,None,None,None,None,None,None,None,Bronze,None,Bronze,None,None,None,None,None,None,Bronze,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,Bronze,Bronze,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
264,Lonzo Ball,'20 NBA,New Orleans Pelicans,78,NBA 2K20  Gold,PG,,78,P&R Ball Handler,3 PT,Handoff,,1,7,6,0,57,60,71,90,37,45,71,25,65,49,35,30,39,79,80,80,75,47,83,70,80,80,81,84,66,84,40,79,77,83,81,79,70,65,46,80,75,39,56,95,86,0,50,10,50,5,65,75,60,65,45,75,0,43,15,16,53,31,5,45,45,60,60,40,20,25,40,25,15,20,20,5,15,5,5,50,5,25,25,25,40,25,35,75,45,30,45,15,0,15,30,15,90,45,50,60,0,50,0,0,10,20,90,5,0,0,0,0,45,4,8,28,13,0,20,0,0,0,0,0,85,35,99,82,0,89,37,23,50,99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Silver,Gold,Gold,None,None,Gold,Silver,None,Gold,Gold,Gold,None,None,None,None,None,None,None,None,None,Silver,None,None,Silver,None,None,None,Silver,Bronze,None,None,None,None,None,Silver,Silver,None,None,None,None,None,None,None,None,None
265,Josh Jackson,'20 NBA,Memphis Grizzlies,75,NBA 2K20  Silver,SF,PF,80,3 PT,P&R Roll Man,Handoff,,1,0,0,0,65,75,70,90,62,70,72,50,75,50,54,45,49,80,76,78,81,48,83,80,80,63,64,50,50,49,57,73,70,75,76,65,47,48,57,78,55,37,60,95,78,25,60,10,50,15,30,40,25,15,5,10,0,46,50,8,40,52,20,40,35,40,99,30,40,86,25,0,10,0,0,5,30,15,5,50,0,0,0,0,60,55,65,75,35,0,0,0,0,0,15,15,75,55,80,80,35,0,10,10,20,30,75,5,0,35,5,0,55,12,4,45,28,20,0,15,25,15,0,0,35,10,35,54,20,41,70,19,80,65,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
266,De'Aaron Fox,'20 NBA,Sacramento Kings,84,NBA 2K20  Sapphire,PG,,75,P&R Ball Handler,Cutter,,,8,11,6,0,73,74,80,94,72,94,88,26,59,78,26,26,29,89,89,89,83,45,95,94,80,89,87,85,77,86,33,78,76,77,85,76,64,72,54,64,69,32,51,98,88,0,40,0,25,5,60,60,55,55,40,55,0,35,55,13,19,68,30,40,35,25,65,25,30,20,35,20,5,0,0,12,1,5,5,0,0,0,15,25,65,75,75,75,60,25,40,10,15,15,35,5,45,45,70,75,0,5,5,5,15,25,60,0,0,0,0,0,10,0,5,20,25,0,20,0,0,0,0,0,55,45,40,55,20,46,85,14,60,40,Silver,None,Silver,Silver,None,None,None,Silver,None,Gold,None,None,Bronze,None,Bronze,None,Gold,None,None,None,None,None,None,Silver,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,Bronze,None,Silver,Gold,None,None,Silver,Bronze,Silver,Silver,Gold,None,Gold,Silver,Gold,None,None,None,None,None,Bronze,None,None,Bronze,None,Silver,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None
267,Jayson Tatum,'20 NBA,Boston Celtics,83,NBA 2K20  Emerald,SF,PF,80,P&R Wing,Post Up High,Post Up Low,Cutter,5,13,2,0,63,77,78,93,82,86,84,46,86,74,53,46,64,80,75,78,78,56,89,71,80,75,77,65,36,74,46,75,74,79,75,70,70,42,57,70,71,35,65,95,90,0,90,65,50,5,25,80,0,0,0,10,0,43,25,7,49,44,25,60,55,35,75,40,75,20,65,0,40,0,0,50,15,5,5,50,0,0,5,0,75,60,45,75,20,0,45,0,0,0,30,0,75,40,60,75,0,65,20,20,30,40,45,10,5,5,30,15,75,5,11,42,35,25,10,15,20,10,0,0,20,15,5,57,10,60,60,29,50,35,None,None,Bronze,Bronze,None,None,None,Bronze,Silver,None,Silver,None,None,None,None,Silver,None,None,Silver,Silver,None,Silver,None,Silver,None,Gold,Gold,Silver,None,None,Silver,None,None,Silver,Silver,Bronze,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,Silver,Silver,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
268,Jonathan Isaac,'20 NBA,Orlando Magic,75,NBA 2K20  Silver,SF,PF,82,P&R Roll Man,Post Up Low,Handoff,,4,0,0,0,75,65,70,90,78,26,63,56,61,51,58,58,64,64,69,72,76,56,81,86,80,62,68,61,27,51,61,76,73,78,75,46,74,38,76,78,61,46,64,95,82,75,80,45,50,15,5,40,0,0,0,5,0,46,30,8,78,14,15,40,30,30,70,35,36,36,35,30,0,0,0,0,20,5,5,50,0,0,25,0,55,55,55,75,15,0,10,0,0,0,15,0,75,75,45,60,55,0,0,0,10,20,99,20,0,0,10,0,65,3,8,0,0,0,0,0,0,0,0,0,25,5,10,71,60,65,80,31,65,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,Bronze,None,None,None,None,Bronze,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None
269,Malik Monk,'20 NBA,Charlotte Hornets,74,NBA 2K20  Silver,SG,,75,3 PT,P&R Wing,Handoff,,2,0,0,0,51,71,74,90,86,68,73,38,78,53,43,25,60,86,78,79,86,46,86,70,80,74,73,73,54,66,43,66,67,67,71,66,74,40,50,74,43,29,49,95,80,0,55,85,25,0,40,65,55,35,25,45,28,32,30,8,69,23,30,50,55,99,85,50,40,55,65,45,40,20,30,20,20,45,95,15,95,15,45,20,45,35,35,90,40,15,30,15,5,5,35,20,90,55,75,80,20,65,15,15,25,35,35,0,0,0,0,0,15,0,0,0,0,0,35,0,0,0,0,0,45,40,20,66,10,41,45,18,50,81,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
270,Dennis Smith Jr.,'20 NBA,New York Knicks,75,NBA 2K20  Silver,PG,SG,75,P&R Ball Handler,Handoff,3 PT,Isolation,6,2,0,0,60,69,72,91,61,72,79,25,87,57,35,27,28,77,83,84,88,51,85,42,80,82,83,73,70,72,25,63,62,64,76,72,70,60,48,78,42,33,43,95,81,0,50,80,50,5,15,75,65,55,35,25,21,49,35,13,38,49,25,55,55,60,70,40,46,40,65,45,25,12,15,15,20,30,55,15,30,0,15,25,60,50,55,95,55,40,55,15,35,15,45,25,90,65,85,85,55,25,45,45,55,65,35,5,0,0,0,0,10,4,10,27,17,0,20,0,0,0,0,0,35,45,40,41,20,51,65,16,55,20,None,None,Bronze,None,None,None,None,None,Silver,Bronze,None,None,None,None,None,Silver,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
271,Lauri Markkanen,'20 NBA,Chicago Bulls,81,NBA 2K20  Emerald,PF,C,84,P&R Roll Man,3 PT,Post Up Low,,4,1,1,0,84,69,78,94,85,93,72,68,38,72,72,71,75,83,61,58,60,59,83,56,80,40,63,53,31,68,64,47,64,62,53,52,62,36,54,62,43,46,85,95,88,55,70,0,50,15,20,70,0,0,0,60,0,37,30,13,40,47,15,60,50,70,99,55,35,35,15,0,0,5,0,0,25,5,5,50,0,0,5,0,50,25,25,50,0,0,20,0,0,0,0,0,99,40,65,70,20,75,0,0,10,20,65,35,5,25,20,5,65,10,15,28,31,30,15,35,15,15,15,15,20,0,0,37,10,18,60,14,35,35,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,Bronze,None,None,None,None,Silver,None,None,None,None,Bronze,None,None,None,None,None,Gold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
272,Frank Ntilikina,'20 NBA,New York Knicks,72,NBA 2K20  Silver,SG,SF,78,P&R Point,Handoff,,,3,0,0,0,59,67,66,90,73,46,75,26,41,35,36,28,44,81,76,78,66,43,77,76,80,76,82,73,65,73,31,78,78,81,81,66,60,42,48,80,66,28,43,70,77,0,50,0,25,5,25,65,50,55,35,90,0,25,25,12,39,49,30,45,40,35,60,30,30,20,30,15,15,0,0,5,35,55,55,15,0,0,15,40,50,45,55,75,40,20,45,15,5,15,35,25,90,40,50,60,15,15,5,5,15,25,60,0,0,0,0,0,10,0,0,14,0,0,35,0,0,0,0,0,60,40,65,32,10,41,40,20,75,35,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,Bronze,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None
273,Donovan Mitchell,'20 NBA,Utah Jazz,86,NBA 2K20  Sapphire,SG,,75,P&R Wing,Handoff,3 PT,,9,15,5,0,,87,,96,78,,89,47,87,,35,25,41,,87,87,94,57,86,87,80,80,83,,,79,45,76,76,79,84,77,79,56,44,84,,34,48,95,91,0,85,20,50,5,35,90,40,25,5,25,0,38,50,7,24,69,15,40,40,75,70,35,40,20,35,5,25,0,5,15,5,35,55,15,0,0,0,0,99,45,65,75,30,15,25,5,0,5,20,40,80,65,85,90,35,10,15,15,25,35,75,0,0,0,0,0,20,4,13,32,19,0,0,0,15,0,0,0,20,40,20,76,10,72,35,24,60,45,Silver,None,Silver,Gold,None,None,None,Silver,Gold,None,Silver,None,Bronze,Bronze,Gold,Gold,Bronze,None,None,Bronze,None,Bronze,None,Silver,None,Silver,Silver,Silver,None,None,Silver,None,None,None,Bronze,Silver,Silver,None,Silver,None,None,Silver,None,None,None,None,None,None,None,None,None,Bronze,Bronze,None,None,None,None,None,None,None,None,Bronze,None,Gold,None,Silver,None,None,None,None,None,None,None,Silver,None,Yes,None,None,None,None,None,None,None
274,Luke Kennard,'20 NBA,Detroit Pistons,74,NBA 2K20  Silver,SG,SF,77,3 PT,P&R Ball Handler,Handoff,,2,2,0,0,85,83,82,94,82,78,70,28,38,63,33,26,48,83,64,59,58,38,86,73,80,59,70,58,44,57,33,49,48,54,63,48,60,34,38,60,28,27,58,95,79,0,35,0,25,5,10,65,20,15,5,60,0,19,30,3,37,60,20,60,55,50,85,60,40,35,35,25,25,15,30,25,25,0,0,50,0,0,25,0,30,25,20,75,20,0,35,0,0,0,20,0,90,30,50,60,0,35,0,0,5,15,99,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,70,10,30,39,10,40,35,25,45,35,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,Silver,Silver,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
